"ID_CODE","SIMPLIFIED","TRADITIONAL","PINYIN","TYPE","DESCRIPTION","HSK_LEVEL","MESURE_WORD","SYNONYME","SEE_ALSO"
"2683","明确","明確","míngquè","(形) adjective","clear-cut; definite; explicit; to clarify; to specify; to make definite","5","","",""
"2684","昏迷","Same","hūnmí","(形) adjective","to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented","6","","",""
"2685","昔日","Same","xīrì","(名) noun","formerly; in olden days","6","","",""
"2686","星期","Same","xīngqī","(名) noun","week; day of the week; Sunday","1","个","",""
"2687","春","Same","chūn","(名) noun","spring (time); gay; joyful; youthful; love; lust; life; (Chinese surname)","3","","",""
"2688","昨天","Same","zuótiān","(名) noun, (时间) time word","yesterday","1","","",""
"2689","是","Same","shì","(形) adjective, (动) verb","is; are; am; yes; to be","1","","",""
"2690","是否","Same","shìfǒu","(副) adverb","whether (or not); if; is or isn't","5","","",""
"2691","是非","Same","shìfēi","(名) noun","right and wrong; quarrel","6","","",""
"2692","昼夜","晝夜","zhòuyè","(名) noun, (副) adverb","day and night; period of 24 hours; continuously, without stop","6","","",""
"2693","显得","顯得","xiǎnde","(形) adjective","to seem; to look; to appear","5","","",""
"2694","显然","顯然","xiǎnrán","(形) adjective","clear; evident; obvious(ly)","5","","",""
"2695","显示","顯示","xiǎnshì","(动) verb","to show; to illustrate; to display; to demonstrate","5","","",""
"2696","显著","顯著","xiǎnzhù","(形) adjective","outstanding; notable; remarkable; statistically significant","6","","",""
"2697","晋升","晉升","jìnshēng","(动) verb","to promote to a higher position","6","","",""
"2698","晒","曬","shài","(动) verb","to dry in the sun; to sunbathe; to share files (loan from ""share"")","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%99%92&amp;cache=44110"" class=""pinyin"">sh&agrave;i</a> variant of <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E6%9B%AC"">曬</a> (<span class=""zh"">晒</span>)"
"2698","晒","","shài","","variant of 曬","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9B%AC&amp;cache=44656"" class=""pinyin"">sh&agrave;i</a> to dry in the sun; to sunbathe; to share files (loan from &quot;share&quot;) (<span class=""zh"">曬</span>)"
"2699","晕","暈","yūn","(形) adjective","confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9A%88&amp;cache=44387"" class=""pinyin"">y&ugrave;n</a> dizzy; halo; ring around moon or sun"
"2699","晕","","yùn","","dizzy; halo; ring around moon or sun","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9A%88&amp;cache=44386"" class=""pinyin"">yūn</a> confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out"
"2700","晚上","Same","wǎnshang","(名) noun, (时间) time word","evening; night; in the evening","2","个","",""
"2701","普及","Same","pǔjí","(形) adjective","popular; to popularize; universal; ubiquitous; pervasive","6","","",""
"2702","普通话","普通話","pǔtōng huà","(名) noun","Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech","3","","国语",""
"2703","普遍","Same","pǔbiàn","(形) adjective","universal; general; widespread; common","4","","",""
"2704","景色","Same","jǐngsè","(名) noun","scenery; scene; landscape; view","5","","",""
"2705","晴","Same","qíng","(形) adjective","clear; fine (weather)","2","","",""
"2706","晴朗","Same","qínglǎng","(形) adjective","sunny and cloudless","6","","",""
"2707","智力","Same","zhìlì","(名) noun","intelligence; intellect","6","","",""
"2708","智商","Same","zhìshāng","(名) noun","IQ (intelligence quotient)","6","","",""
"2709","智慧","Same","zhìhuì","(名) noun","wisdom; knowledge; intelligent; intelligence","5","","",""
"2710","智能","Same","zhìnéng","(形) adjective","intelligent; able; smart (phone, system, bomb etc)","6","","",""
"2711","晾","Same","liàng","(动) verb","to dry in the air; (fig.) to cold-shoulder","6","","",""
"2712","暂且","暫且","zànqiě","(副) adverb","for now; for the time being; temporarily","6","","",""
"2713","暂时","暫時","zànshí","(副) adverb","temporary; provisional; for the time being","4","","",""
"2714","暖和","Same","nuǎnhuo","(形) adjective","warm; nice and warm","4","","",""
"2715","暗","Same","àn","(形) adjective","dark; gloomy; hidden; secret; muddled; obscure; in the dark","4","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E9%97%87&amp;cache=92483"" class=""pinyin"">&agrave;n</a> to close (a door); to eclipse; muddled; stupid; ignorant; variant of <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E6%9A%97"">暗</a> (<span class=""zh"">闇</span>)"
"2715","暗","","àn","","to close (a door); to eclipse; muddled; stupid; ignorant; variant of 暗","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9A%97&amp;cache=44445"" class=""pinyin"">&agrave;n</a> dark; gloomy; hidden; secret; muddled; obscure; in the dark (<span class=""zh"">暗</span>)"
"2716","暗示","Same","ànshì","(动) verb","to hint; to suggest; suggestion; hint","6","","",""
"2717","暧昧","曖昧","àimèi","(形) adjective","vague; ambiguous; equivocal; dubious","6","","",""
"2718","暴力","Same","bàolì","(名) noun, (形) adjective","violence; (use) force; violent","6","","",""
"2719","暴露","Same","bàolù","(动) verb","to expose; to reveal; to lay bare","6","","",""
"2720","曝光","","pùguāng","(形) adjective","exposure (e.g. of photosensitive material); to expose (a scandal to the public)","","","",""
"2721","曲子","Same","qǔzi","(名) noun","poem for singing; tune; music","6","支","",""
"2722","曲折","Same","qūzhé","(形) adjective","complicated; winding","6","","",""
"2723","更","Same","gèng","(副) adverb","more; even more; further; still; still more","3","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9B%B4&amp;cache=44726"" class=""pinyin"">gēng</a> to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard)"
"2723","更","","gēng","(动) verb","to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard)","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9B%B4&amp;cache=44727"" class=""pinyin"">g&egrave;ng</a> more; even more; further; still; still more"
"2724","更加","Same","gèngjiā","(副) adverb","more (than something else); even more","5","","",""
"2725","更新","Same","gēngxīn","(动) verb","to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate","6","","",""
"2726","更正","Same","gēngzhèng","(动) verb","to correct; to make a correction","6","","",""
"2727","曾经","曾經","céngjīng","(形) adjective, (副) adverb","once; already; former; previously; ever; (past tense marker used before verb or clause)","5","","",""
"2728","最","Same","zuì","(副) adverb","most; the most; -est (superlative suffix)","2","","",""
"2729","最初","Same","zuìchū","(名) noun","first; primary; initial","5","","",""
"2730","最后","最後","zuìhòu","(名) noun, (副) adverb","final; last; finally; ultimate","4","","",""
"2731","最好","Same","zuìhǎo","(副) adverb","best; (you) had better (do what we suggest)","4","","",""
"2732","最近","Same","zuìjìn","(名) noun, (副) adverb, (时间) time word","recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes)","3","","",""
"2733","月","Same","yuè","(名) noun","moon; month","1","个, 轮","",""
"2734","月亮","Same","yuèliang","(名) noun","moon","3","","",""
"2735","有","Same","yǒu","(动) verb","to have; there is; there are; to exist; to be","1","","",""
"2736","有利","Same","yǒulì","(形) adjective","advantageous; to have advantages; favorable","5","","",""
"2737","有名","Same","yǒumíng","(形) adjective","famous; well-known","3","","",""
"2738","有条不紊","有條不紊","yǒutiáobùwěn","(习惯用语) idiomatic expression","regular and thorough (idiom); methodically arranged","6","","",""
"2739","有趣","Same","yǒuqù","(形) adjective","interesting; fascinating; amusing","4","","",""
"2740","朋友","Same","péngyou","(名) noun","friend","1","个, 位","",""
"2741","服从","服從","fúcóng","(动) verb","to obey (an order); to comply; to defer","5","","",""
"2742","服务员","服務員","fúwù yuán","(名) noun","waiter; waitress; attendant; customer service personnel","2","个","",""
"2743","服气","服氣","fúqì","(动) verb","to be convinced; to accept","6","","",""
"2744","服装","服裝","fúzhuāng","(名) noun","dress; clothing; costume; clothes","5","身","",""
"2745","朗读","朗讀","lǎngdú","(动) verb","read aloud; read loudly and clearly","6","","",""
"2746","朝","Same","cháo","(名) noun, (介) preposition","imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards; abbr. for 朝鮮 Korea","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9C%9D&amp;cache=45520"" class=""pinyin"">zhāo</a> morning"
"2746","朝","","zhāo","(名) noun","morning","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9C%9D&amp;cache=373"" class=""pinyin"">ch&aacute;o</a> imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards; abbr. for <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E6%9C%9D%E9%AE%AE"">朝鮮</a> Korea"
"2747","朝代","Same","cháodài","(名) noun","dynasty; reign (of a king)","5","","",""
"2748","朝气蓬勃","朝氣蓬勃","zhāoqì péngbó","(习惯用语) idiomatic expression","full of youthful energy (idiom); vigorous; energetic; a bright spark","6","","",""
"2749","期待","Same","qīdài","(动) verb","to look forward to; to await; expectation","5","","",""
"2750","期望","Same","qīwàng","(形) adjective","to have expectations; to earnestly hope; expectation; hope","6","","",""
"2751","期间","期間","qījiān","(名) noun","period of time; time; time period; period","5","个","",""
"2752","期限","Same","qīxiàn","(名) noun","time limit; deadline; allotted time","6","","",""
"2753","木头","木頭","mùtou","(名) noun","slow-witted; blockhead; log (of wood, timber etc)","5","块, 根","",""
"2754","未免","Same","wèimiǎn","(副) adverb","unavoidable; a bit too much; over the top (you exaggerate)","6","","",""
"2755","未必","Same","wèibì","(副) adverb","not necessarily; maybe not","5","","",""
"2756","未来","未來","wèilái","(名) noun","future; tomorrow; approaching; coming; pending","5","个","",""
"2757","本","Same","běn","(副) adverb, (量) measure word","roots or stems of plants; origin; source; this; the current; root; foundation; basis; measure word for books, periodicals, files etc; originally","1","","",""
"2758","本事","Same","běnshi","(名) noun","ability; skill","6","件","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9C%AC%E4%BA%8B&amp;cache=45830"" class=""pinyin"">běnsh&igrave;</a> source material; original story"
"2758","本事","","běnshì","","source material; original story","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%9C%AC%E4%BA%8B&amp;cache=45831"" class=""pinyin"">běnshi</a> ability; skill"
"2759","本人","Same","běnrén","(名) noun","the person himself; I (humble form used in speeches); oneself; myself; in person; personal","6","位","",""
"2760","本来","本來","běnlái","(副) adverb","original; originally; at first; it goes without saying; of course","4","","",""
"2761","本着","本著","běnzhe","(连) conjunction","based on...; in conformance with..; taking as one's main principle","6","","",""
"2762","本科","Same","běnkē","(名) noun","undergraduate course; undergraduate (adjective)","5","None","",""
"2763","本能","Same","běnnéng","(名) noun","instinct","6","","",""
"2764","本质","本質","běnzhì","(名) noun","essence; nature; innate character; intrinsic quality","5","","",""
"2765","本身","Same","běnshēn","(名) noun","itself; in itself; per se","6","","",""
"2766","本钱","本錢","běnqián","(名) noun","capital","6","","",""
"2767","本领","本領","běnlǐng","(名) noun","skill; ability; capability","5","项, 个","",""
"2768","朴实","樸實","pǔshí","(形) adjective","plain; simple; guileless; down-to-earth; sincere and honest","6","","",""
"2769","朴素","樸素","pǔsù","(形) adjective","plain and simple; unadorned; simple living; not frivolous","5","","",""
"2770","朵","Same","duǒ","(量) measure word","flower; earlobe; fig. item on both sides; measure word for flowers, clouds etc","4","","",""
"2771","机会","機會","jīhuì","(名) noun","opportunity; chance; occasion","3","个","",""
"2772","机关","機關","jīguān","(名) noun","mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; strategum; scheme; intrigue; plot; trick","6","个","",""
"2773","机动","機動","jīdòng","(形) adjective","locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)","6","","",""
"2774","机器","機器","jīqì","(名) noun","machine","5","台, 部, 个","",""
"2775","机场","機場","jīchǎng","(名) noun","airport; airfield","2","家, 处","",""
"2776","机密","機密","jīmì","(名) noun","secret; classified (information)","6","","",""
"2777","机智","機智","jīzhì","(形) adjective","quick-witted; tact; witty; resourceful","6","","",""
"2778","机构","機構","jīgòu","(名) noun","mechanism; structure; organization; agency; institution","6","所","",""
"2779","机械","機械","jīxiè","(名) noun","machine; machinery; mechanical; (old) cunning; scheming","6","","",""
"2780","机灵","機靈","jīlíng","(形) adjective","clever; quick-witted","6","","",""
"2781","机遇","機遇","jīyù","(名) noun","opportunity; favorable circumstance; stroke of luck","6","","",""
"2782","杀","殺","shā","(动) verb","to kill; to murder; to fight; to weaken or reduce; to smart (topolect); to counteract; (used after a verb) extremely","5","","",""
"2783","杂交","雜交","zájiāo","(动) verb","a hybrid","6","","",""
"2784","杂志","雜誌","zázhì","(名) noun","magazine","4","本, 分, 期","",""
"2785","杂技","雜技","zájì","(名) noun","acrobatics","6","场","",""
"2786","权利","權利","quánlì","(名) noun","power; right; privilege","5","","",""
"2787","权力","權力","quánlì","(名) noun","power; authority","5","","",""
"2788","权威","權威","quánwēi","(名) noun","authority; authoritative; power and prestige","6","","",""
"2789","权益","權益","quányì","(名) noun","rights and benefits","6","","",""
"2790","权衡","權衡","quánhéng","(动) verb","to weigh; to consider; to assess; to balance; to trade-off","6","","",""
"2791","材料","Same","cáiliào","(名) noun","material; data; makings; stuff","4","个, 种","",""
"2792","杜绝","杜絕","dùjué","(动) verb","to put an end to","6","","",""
"2793","束","Same","shù","(量) measure word","to bind; bunch; bundle; measure word for bunches, bundles, beams of light etc; to control; (Chinese surname)","6","","",""
"2794","束缚","束縛","shùfù","(动) verb","to bind; to restrict; to tie; to commit; fetters","6","","",""
"2795","杠杆","槓桿","gànggǎn","(名) noun","lever; pry bar; crowbar; financial leverage","6","","",""
"2796","条","條","tiáo","(量) measure word","strip; item; article; clause (of law or treaty); measure word for long thin things (ribbon, river, road, trousers etc)","3","","",""
"2797","条件","條件","tiáojiàn","(名) noun","condition; circumstances; term; factor; requirement; prerequisite; qualification","4","个","",""
"2798","条款","條款","tiáokuǎn","(名) noun","clause (of contract or law)","6","项","",""
"2799","条理","條理","tiáolǐ","(名) noun","arrangement; order; tidiness","6","","",""
"2800","条约","條約","tiáoyuē","(名) noun","treaty; pact","6","个","",""
"2801","来","來","lái","(动) verb, (副) adverb","to come; to arrive; to come round; ever since; next","1","","",""
"2802","来不及","","láibují","","there's not enough time (to do something); it's too late (to do something)","","","",""
"2803","来历","來歷","láilì","(名) noun","history; antecedents; origin","6","","",""
"2804","来得及","來得及","láide jí","(形) adjective","there's still time; able to do something in time","4","","",""
"2805","来源","來源","láiyuán","(名) noun","source (of information etc); origin","6","","",""
"2806","来自","來自","láizì","(形) adjective","to come from (a place); From: (in email header)","5","","",""
"2807","杯子","Same","bēizi","(名) noun","cup; glass","1","个, 支, 枝","",""
"2808","杰出","傑出","jiéchū","(形) adjective","outstanding; distinguished; remarkable; prominent; illustrious","6","","",""
"2809","极","極","jí","(副) adverb","extremely; pole (geography, physics); utmost; top","3","","",""
"2810","极其","極其","jíqí","(副) adverb","extremely","4","","",""
"2811","极端","極端","jíduān","(名) noun, (形) adjective","extreme","6","","",""
"2812","极限","極限","jíxiàn","(名) noun","limit; extreme boundary","6","","",""
"2813","构思","構思","gòusī","(动) verb","to design; to plot; to plan out; to compose; to draw a mental sketch; conception; plan; idea; composition","6","","",""
"2814","构成","構成","gòuchéng","(动) verb","to constitute; to form; to compose; to make up; to configure (computing)","5","","",""
"2815","枕头","枕頭","zhěntou","(名) noun","pillow","5","","",""
"2816","枚","Same","méi","(量) measure word","measure word for coins, rings, badges, pearls, sporting medals, rockets, satellites etc; tree trunk; whip; wooden peg, used as a gag for marching soldiers (old); (Chinese surname)","6","","",""
"2817","果实","果實","guǒshí","(名) noun","fruit; gains","5","","",""
"2818","果断","果斷","guǒduàn","(形) adjective","firm; decisive","6","","",""
"2819","果汁","Same","guǒzhī","(名) noun","fruit juice","3","杯, 瓶, 桶, 滴","",""
"2820","果然","Same","guǒrán","(副) adverb","really; sure enough; as expected; if indeed","4","","",""
"2821","枝","Same","zhī","(量) measure word","branch; measure word for sticks, rods, pencils etc","6","","",""
"2822","枪","槍","qiāng","(名) noun","gun; firearm; rifle; spear; thing with shape or function similar to a gun; to substitute for another person in a test; to knock; measure word for rifle shots; (Chinese surname)","5","支, 把, 杆, 条, 枝","",""
"2823","枯燥","Same","kūzào","(形) adjective","dry and dull; uninteresting; dry-as-dust","6","","",""
"2824","枯竭","Same","kūjié","(动) verb","used up; dried up; exhausted (of resources)","6","","",""
"2825","某","Same","mǒu","(代) pronoun","some; a certain; somebody or something indefinite; such-and-such","5","","",""
"2826","染","Same","rǎn","(动) verb","to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add colour washes to a painting","6","","",""
"2827","柔和","Same","róuhé","(形) adjective","gentle; soft","6","","",""
"2828","柜台","櫃台","guìtái","(名) noun","sales counter; front desk; bar; over the counter","5","","",""
"2829","查获","查獲","cháhuò","(动) verb","to investigate and capture (a criminal); to ferret out; to hunt down and arrest","6","","",""
"2830","柴油","Same","cháiyóu","(名) noun","diesel fuel","6","","",""
"2831","标准","標準","biāozhǔn","(名) noun, (形) adjective","(an official) standard; norm; criterion","4","个","",""
"2832","标志","標誌","biāozhì","(名) noun","sign; mark; symbol; to symbolize; to indicate; to mark","5","","",""
"2833","标本","標本","biāoběn","(名) noun","specimen; sample; the root cause and symptoms of a disease","6","","",""
"2834","标点","標點","biāodiǎn","(名) noun, (动) verb","punctuation; a punctuation mark; to punctuate","5","个","",""
"2835","标记","標記","biāojì","(名) noun","sign; mark; symbol; to mark up","6","","",""
"2836","标题","標題","biāotí","(名) noun","title; heading; headline; caption; subject","6","","",""
"2837","栋","棟","dòng","(名) noun, (量) measure word","measure word for houses or buildings; ridgepole (old)","6","","",""
"2838","栏目","欄目","lánmù","(名) noun","regular column or segment (in a publication or broadcast program); program (TV or radio)","6","","",""
"2839","树","樹","shù","(名) noun","tree; to cultivate; to set up","3","棵","",""
"2840","树立","樹立","shùlì","(动) verb","to set up; to establish","6","","",""
"2841","校长","校長","xiàozhǎng","(名) noun","(college, university) president; headmaster","3","个, 位, 名","",""
"2842","株","Same","zhū","(量) measure word","tree trunk; stump (tree root); a plant; measure word for trees or plants; to involve others (in shady business)","6","","",""
"2843","样品","樣品","yàngpǐn","(名) noun","sample; specimen","6","","",""
"2844","样子","樣子","yàngzi","(名) noun","appearance; manner; pattern; model","4","","",""
"2845","样式","樣式","yàngshì","(名) noun","type; style","5","","",""
"2846","核心","Same","héxīn","(名) noun","core; nucleus","5","","",""
"2847","根","Same","gēn","(名) noun, (量) measure word","root; basis; measure word for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)","5","条","",""
"2848","根据","根據","gēnjù","(名) noun, (介) preposition","according to; based on; basis; foundation","3","个","",""
"2849","根本","Same","gēnběn","(名) noun, (副) adverb","fundamental; basic; root; simply; absolutely (not); (not) at all","5","个","",""
"2850","根深蒂固","Same","gēn shēn dì gù","(形) adjective","deep-rooted (problem etc)","6","","",""
"2851","根源","Same","gēnyuán","(名) noun","origin; root (cause)","6","","",""
"2852","格外","Same","géwài","(副) adverb","especially; particularly","5","","",""
"2853","格局","Same","géjú","(名) noun","structure; pattern; layout","6","","",""
"2854","格式","Same","géshì","(名) noun","form; specification; format","6","","",""
"2855","栽培","Same","zāipéi","(动) verb","to grow; to cultivate; to train; to educate; to patronize","6","","",""
"2856","桃","Same","táo","(名) noun","peach","5","","",""
"2857","框架","Same","kuàngjià","(名) noun","frame; framework; fig. pattern; outline; organizing plan","6","","",""
"2858","案件","Same","ànjiàn","(名) noun","law case; legal case; judicial case","6","宗, 桩, 起","",""
"2859","案例","Same","ànlì","(名) noun","case (law)","6","个","",""
"2860","桌子","Same","zhuōzi","(名) noun","table; desk","1","张, 套","",""
"2861","桔子","Same","júzi","(名) noun","tangerine; also written 橘子","5","个, 瓣","橘子",""
"2862","档案","檔案","dàng'àn","(名) noun","file; record; archive","6","","",""
"2863","档次","檔次","dàngcì","(名) noun","grade; class; quality; level","6","","",""
"2864","桥","橋","qiáo","(名) noun","bridge","4","座","",""
"2865","桥梁","橋梁","qiáoliáng","(名) noun","bridge; fig. connection between two areas","6","","",""
"2866","桨","槳","jiǎng","(名) noun","oar; paddle","6","","",""
"2867","梢","Same","shāo","(名) noun","tip of branch","6","","",""
"2868","梦","夢","mèng","(名) noun","dream","4","场, 个","",""
"2869","梦想","夢想","mèngxiǎng","(名) noun, (动) verb","(figuratively) to dream of; dream","6","","",""
"2870","梨","Same","lí","(名) noun","pear","5","个","",""
"2871","梳子","Same","shūzi","(名) noun","comb","5","把","",""
"2872","检查","檢查","jiǎnchá","(名) noun, (动) verb","inspection; to examine; to inspect","3","次","",""
"2873","检讨","檢討","jiǎntǎo","(动) verb","to examine or inspect; self-criticism; review","6","","",""
"2874","检验","檢驗","jiǎnyàn","(动) verb","to inspect; to examine; to test","6","","",""
"2875","棉花","Same","miánhua","(名) noun","cotton","5","","",""
"2876","棍棒","Same","gùnbàng","(名) noun","club","6","","",""
"2877","棒","Same","bàng","(形) adjective, (量) measure word","a stick; club or cudgel; smart; capable; strong; wonderful; measure word for legs of a relay race","5","","",""
"2878","棕色","Same","zōngsè","(名) noun","brown","6","None","",""
"2879","森林","Same","sēnlín","(名) noun","forest","4","片","",""
"2880","棵","Same","kē","(量) measure word","measure word for trees, cabbages, plants etc","4","","",""
"2881","椅子","Same","yǐzi","(名) noun","chair","1","把, 套","",""
"2882","植物","Same","zhíwù","(名) noun","botanical; plant; vegetation","4","种","",""
"2883","椭圆","橢圓","tuǒyuán","(名) noun, (形) adjective","oval; ellipse; elliptic","6","","",""
"2884","楼","樓","lóu","(名) noun, (量) measure word","house with more than 1 story; storied building; floor","3","层, 座, 栋","",""
"2885","概念","Same","gàiniàn","(名) noun","concept; idea","5","个","",""
"2886","概括","Same","gàikuò","(形) adjective","to summarize; to generalize; briefly","5","个","",""
"2887","榜样","榜樣","bǎngyàng","(名) noun","example; model","6","个","",""
"2888","模仿","Same","mófǎng","(名) noun, (形) adjective, (动) verb","to imitate; to copy; to emulate; to mimic; model","5","","",""
"2889","模型","Same","móxíng","(名) noun","model; mould; matrix; pattern","6","","",""
"2890","模式","Same","móshì","(名) noun","mode; method","6","","",""
"2891","模样","模樣","múyàng","(名) noun","look; style; appearance; approximation; about","6","个","",""
"2892","模糊","Same","móhu","(形) adjective","vague; indistinct; fuzzy","5","","",""
"2893","模范","模範","mófàn","(名) noun","model; fine example","6","","",""
"2894","横","橫","héng","(名) noun, (形) adjective","horizontal; across; (horizontal character stroke)","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%A9%AB&amp;cache=48970"" class=""pinyin"">h&egrave;ng</a> harsh and unreasonable; perverse; unexpected"
"2894","横","","hèng","","harsh and unreasonable; perverse; unexpected","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%A9%AB&amp;cache=48969"" class=""pinyin"">h&eacute;ng</a> horizontal; across; (horizontal character stroke)"
"2895","橙","Same","chéng","(名) noun","orange tree; orange (color)","6","个","橙子",""
"2896","橡皮","Same","xiàngpí","(名) noun","rubber; an eraser","5","块","",""
"2897","欠","Same","qiàn","(动) verb","deficient; to owe; to lack; yawn","5","","",""
"2898","次","Same","cì","(量) measure word","next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); measure word for enumerated events: time","2","","",""
"2899","次品","Same","cìpǐn","(名) noun","substandard products; defective; seconds","6","","",""
"2900","次序","Same","cìxù","(名) noun","sequence; order","6","","",""
"2901","次要","Same","cìyào","(形) adjective","secondary","5","","",""
"2902","欢乐","歡樂","huānlè","(形) adjective","gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay","6","","",""
"2903","欢迎","歡迎","huānyíng","(形) adjective, (动) verb, (习惯用语) idiomatic expression","to welcome; welcome","2","","",""
"2904","欣慰","Same","xīnwèi","(形) adjective","to be gratified","6","","",""
"2905","欣欣向荣","欣欣向榮","xīn xīn xiàng róng","(习惯用语) idiomatic expression","luxuriant growth (idiom); flourishing; thriving","6","","",""
"2906","欣赏","欣賞","xīnshǎng","(形) adjective, (动) verb","to appreciate; to enjoy; to admire","5","","",""
"2907","欧洲","歐洲","ōuzhōu","(专有名) proper noun","Europe; European","6","","",""
"2908","欲望","慾望","yùwàng","(名) noun","desire; longing; appetite; craving","6","","",""
"2909","欺负","欺負","qīfu","(动) verb","to bully","6","","",""
"2910","欺骗","欺騙","qīpiàn","(动) verb","to deceive; to cheat","6","","",""
"2911","款式","Same","kuǎnshì","(名) noun","pattern; style; design","6","种","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%AC%BE%E5%BC%8F&amp;cache=49409"" class=""pinyin"">kuǎnshi</a> elegant; elegance; good taste"
"2911","款式","","kuǎnshi","","elegant; elegance; good taste","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%AC%BE%E5%BC%8F&amp;cache=49408"" class=""pinyin"">kuǎnsh&igrave;</a> pattern; style; design"
"2912","款待","Same","kuǎndài","(动) verb","to entertain; to be hospitable to","6","","",""
"2913","歇","Same","xiē","(动) verb","to rest","5","","",""
"2914","歌颂","歌頌","gēsòng","(动) verb","to sing the praises of; to extol; to eulogize","6","","",""
"2915","正","Same","zhèng","(形) adjective, (副) adverb","just (right); main; upright; straight; correct; positive; greater than zero; principle","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%AD%A3&amp;cache=49605"" class=""pinyin"">zhēng</a> first month of the lunar year"
"2915","正","","zhēng","","first month of the lunar year","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E6%AD%A3&amp;cache=49606"" class=""pinyin"">zh&egrave;ng</a> just (right); main; upright; straight; correct; positive; greater than zero; principle"
"2916","正义","正義","zhèngyì","(名) noun","justice; righteousness; just; righteous","6","","",""
"2917","正在","Same","zhèngzài","(副) adverb","in the process of (doing something or happening); while (doing)","2","","",""
"2918","正好","Same","zhènghǎo","(形) adjective, (副) adverb, (习惯用语) idiomatic expression","just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that","4","","",""
"2919","正常","Same","zhèngcháng","(形) adjective","regular; normal; ordinary","4","","",""
"2920","正式","Same","zhèngshì","(形) adjective, (副) adverb","formal; official","4","","",""
"2921","正当","正當","zhèngdāng","(形) adjective","honest; reasonable; fair; sensible; timely; just (when needed)","6","","",""
"2922","正月","Same","zhēngyuè","(名) noun, (时间) time word","first month of the lunar year","6","None","",""
"2923","正气","正氣","zhèngqì","(名) noun","healthy environment; healthy atmosphere; righteousness; vital energy (in Chinese medicine)","6","","",""
"2924","正确","正確","zhèngquè","(形) adjective","correct; proper","4","","",""
"2925","正经","","zhèngjīng","(形) adjective","decent; honorable; proper; serious; according to standards","","","",""
"2926","正规","正規","zhèngguī","(形) adjective","regular; according to standards","6","","",""
"2927","正负","正負","zhèngfù","(名) noun","positive and negative","6","","",""
"2928","此外","Same","cǐwài","(连) conjunction","besides; in addition; moreover; furthermore","5","","",""
"2929","步伐","Same","bùfá","(名) noun","pace; (measured) step; march","6","","",""
"2930","步骤","步驟","bùzhòu","(名) noun","procedure; step","5","","",""
"2931","武侠","武俠","wǔxiá","(名) noun","martial arts chivalry (Chinese literary, theatrical and cinema genre); knight-errant","6","","",""
"2932","武器","Same","wǔqì","(名) noun","weapon; arms","5","种","",""
